r	x	y	id
0.001	0.001	0	a
0.00219328	0.001550883	0.001550883	a
0.004810477	2.94677E-19	0.004810477	a
0.010550724	-0.007460489	0.007460489	a
0.023140693	-0.023140693	2.83508E-18	a
0.05075402	-0.035888511	-0.035888511	a
0.111317778	-2.04571E-17	-0.111317778	a
0.244151063	0.172640872	-0.172640872	a
0.535491656	0.535491656	-1.31211E-16	a
1.174483165	0.830485011	0.830485011	a
2.575970497	7.88987E-16	2.575970497	a
5.649824701	-3.995029359	3.995029359	a
12.39164781	-12.39164781	4.55448E-15	a
27.17835393	-19.21799837	-19.21799837	a
59.60974149	-2.55608E-14	-59.60974149	a
130.7408568	92.44774645	-92.44774645	a
286.7513131	286.7513131	-1.40525E-13	a
628.9259346	444.7177932	444.7177932	a
1379.410706	7.60492E-13	1379.410706	a
3025.433983	-2139.304885	2139.304885	a
6635.623999	-6635.623999	4.06481E-12	a
14553.78174	-10291.07776	-10291.07776	a
31920.51916	3.51932E-11	-31920.51916	a
70010.63788	49504.9968	-49504.9968	a
153552.9354	153552.9354	-1.12875E-10	a
336784.5899	238142.6673	238142.6673	a
738662.9225	-7.23897E-10	738662.9225	a
1620094.652	-1145579.915	1145579.915	a
3553321.281	-3553321.281	3.04734E-09	a
7793428.679	-5510786.268	-5510786.268	a
17093171.65	1.46573E-08	-17093171.65	a
37490112.38	26509512.69	-26509512.69	a
0.1	0.1	0	b
0.108170642	0.076488195	0.076488195	b
0.117008879	7.16766E-18	0.117008879	b
0.126569256	-0.089497979	0.089497979	b
0.136910777	-0.136910777	1.67736E-17	b
0.148097267	-0.104720582	-0.104720582	b
0.160197765	-2.94399E-17	-0.160197765	b
0.173286952	0.122532379	-0.122532379	b
0.187445609	0.187445609	-4.59297E-17	b
0.202761119	0.143373762	0.143373762	b
0.219328005	6.71773E-17	0.219328005	b
0.237248512	-0.167760032	0.167760032	b
0.25663324	-0.25663324	9.43241E-17	b
0.277601824	-0.196294132	-0.196294132	b
0.300283676	-1.28762E-16	-0.300283676	b
0.324818781	0.229681563	-0.229681563	b
0.351358562	0.351358562	-1.72187E-16	b
0.380066814	0.268747822	0.268747822	b
0.411120714	2.26658E-16	0.411120714	b
0.444711918	-0.314458813	0.314458813	b
0.481047738	-0.481047738	2.94677E-16	b
0.520352428	-0.367944731	-0.367944731	b
0.562868565	6.20577E-16	-0.562868565	b
0.608858542	0.430528004	-0.430528004	b
0.658606196	0.658606196	-4.84134E-16	b
0.712418553	0.50375599	0.50375599	b
0.770627726	-7.55223E-16	0.770627726	b
0.833592961	-0.589439236	0.589439236	b
0.901702861	-0.901702861	7.73304E-16	b
0.975377777	-0.689696241	-0.689696241	b
1.055072407	9.0472E-16	-1.055072407	b
